trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
175,False,"{'a': 0.4, 'e': 0.0541137662228216}",30,14,15.92165399717792,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.4, 'e': 0.05321934433892148}",25,14,16.007041614652714,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.4, 'e': 0.0523397059484324}",30,15,30.35882715077093,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.4, 'e': 0.051474606701700766}",25,10,23.580815872730412,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.4, 'e': 0.0506238062878176}",30,21,14.715002943391303,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.4, 'e': 0.049787068367863944}",20,5,25.67073171904918,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.4, 'e': 0.0489641605092594}",30,4,35.818139094821845,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.4, 'e': 0.0481548541211964}",20,4,28.871343604691912,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.4, 'e': 0.047358924391140915}",25,9,25.992906107810647,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.4, 'e': 0.046576150222383414}",20,16,7.351321481699499,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.4, 'e': 0.045806314172621466}",20,12,15.699744210240986,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.4, 'e': 0.0450492023935578}",25,14,24.958838659342327,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.4, 'e': 0.044304604571496584}",20,12,16.98693199536794,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
